feature_index,feature_name,raw_column,source_role,question_id,question_text,question_type,option_label,applicable_categories,is_missing_sentinel,train_positive_count
132,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__yes,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea,radio,can_this_violent_material_be_referred_to_through_text_or_337488ea,Can this violent material be referred to through text or spoken about?,radio,Yes,All Other App Types,false,2
133,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__inactive,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea,radio,can_this_violent_material_be_referred_to_through_text_or_337488ea,Can this violent material be referred to through text or spoken about?,radio,__INACTIVE__,All Other App Types,true,377
134,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__not_applicable,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea,radio,can_this_violent_material_be_referred_to_through_text_or_337488ea,Can this violent material be referred to through text or spoken about?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
135,answer__can_this_violent_material_be_visually_depicted_9f0796c7__no,answer__can_this_violent_material_be_visually_depicted_9f0796c7,radio,can_this_violent_material_be_visually_depicted_9f0796c7,Can this violent material be visually depicted?,radio,No,All Other App Types,false,4
136,answer__can_this_violent_material_be_visually_depicted_9f0796c7__yes,answer__can_this_violent_material_be_visually_depicted_9f0796c7,radio,can_this_violent_material_be_visually_depicted_9f0796c7,Can this violent material be visually depicted?,radio,Yes,All Other App Types,false,13
137,answer__can_this_violent_material_be_visually_depicted_9f0796c7__inactive,answer__can_this_violent_material_be_visually_depicted_9f0796c7,radio,can_this_violent_material_be_visually_depicted_9f0796c7,Can this violent material be visually depicted?,radio,__INACTIVE__,All Other App Types,true,377
138,answer__can_this_violent_material_be_visually_depicted_9f0796c7__not_applicable,answer__can_this_violent_material_be_visually_depicted_9f0796c7,radio,can_this_violent_material_be_visually_depicted_9f0796c7,Can this violent material be visually depicted?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
139,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__no,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,radio,do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,Do any of these creatures behave or respond like humans?,radio,No,All Other App Types || Game,false,54
140,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__yes,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,radio,do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,Do any of these creatures behave or respond like humans?,radio,Yes,All Other App Types || Game,false,9
141,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__inactive,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,radio,do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,Do any of these creatures behave or respond like humans?,radio,__INACTIVE__,All Other App Types || Game,true,737
142,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__not_applicable,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,radio,do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a,Do any of these creatures behave or respond like humans?,radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
143,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__no,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,radio,do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,Do any of these sex acts feature characters that appear to be younger than 18?,radio,No,All Other App Types || Game,false,45
144,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__yes,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,radio,do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,Do any of these sex acts feature characters that appear to be younger than 18?,radio,Yes,All Other App Types || Game,false,10
145,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__inactive,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,radio,do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,Do any of these sex acts feature characters that appear to be younger than 18?,radio,__INACTIVE__,All Other App Types || Game,true,745
146,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__not_applicable,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,radio,do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50,Do any of these sex acts feature characters that appear to be younger than 18?,radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
147,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__no,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,radio,do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,"Do these outfits ever appear to be out-of-place, such as a bikini worn on the battlefield or solely wearing undergarments in public?",radio,No,All Other App Types || Game,false,28
148,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__yes,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,radio,do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,"Do these outfits ever appear to be out-of-place, such as a bikini worn on the battlefield or solely wearing undergarments in public?",radio,Yes,All Other App Types || Game,false,9
149,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__inactive,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,radio,do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,"Do these outfits ever appear to be out-of-place, such as a bikini worn on the battlefield or solely wearing undergarments in public?",radio,__INACTIVE__,All Other App Types || Game,true,763
150,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__not_applicable,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,radio,do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5,"Do these outfits ever appear to be out-of-place, such as a bikini worn on the battlefield or solely wearing undergarments in public?",radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
151,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__no,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835,radio,does_the_app_allow_users_to_purchase_digital_goods_43ad2835,Does the app allow users to purchase digital goods?,radio,No,All Other App Types || Social or Communication,false,389
152,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__yes,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835,radio,does_the_app_allow_users_to_purchase_digital_goods_43ad2835,Does the app allow users to purchase digital goods?,radio,Yes,All Other App Types || Social or Communication,false,15
153,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__inactive,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835,radio,does_the_app_allow_users_to_purchase_digital_goods_43ad2835,Does the app allow users to purchase digital goods?,radio,__INACTIVE__,All Other App Types || Social or Communication,true,0
154,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__not_applicable,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835,radio,does_the_app_allow_users_to_purchase_digital_goods_43ad2835,Does the app allow users to purchase digital goods?,radio,__NOT_APPLICABLE__,All Other App Types || Social or Communication,true,406
155,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__no,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982,radio,does_the_app_contain_an_integrated_marketplace_for_these_6e119982,Does the app contain an integrated marketplace for these assets or promote/feature a particular marketplace for these assets?,radio,No,All Other App Types,false,6
156,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__yes,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982,radio,does_the_app_contain_an_integrated_marketplace_for_these_6e119982,Does the app contain an integrated marketplace for these assets or promote/feature a particular marketplace for these assets?,radio,Yes,All Other App Types,false,6
157,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__inactive,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982,radio,does_the_app_contain_an_integrated_marketplace_for_these_6e119982,Does the app contain an integrated marketplace for these assets or promote/feature a particular marketplace for these assets?,radio,__INACTIVE__,All Other App Types,true,382
158,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__not_applicable,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982,radio,does_the_app_contain_an_integrated_marketplace_for_these_6e119982,Does the app contain an integrated marketplace for these assets or promote/feature a particular marketplace for these assets?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
159,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__no,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,radio,does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,"Does the app contain any bodily functions such as belching, flatulence, or vomiting when used for humorous purposes?",radio,No,All Other App Types,false,307
160,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__yes,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,radio,does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,"Does the app contain any bodily functions such as belching, flatulence, or vomiting when used for humorous purposes?",radio,Yes,All Other App Types,false,14
161,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__inactive,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,radio,does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,"Does the app contain any bodily functions such as belching, flatulence, or vomiting when used for humorous purposes?",radio,__INACTIVE__,All Other App Types,true,73
162,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__not_applicable,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,radio,does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd,"Does the app contain any bodily functions such as belching, flatulence, or vomiting when used for humorous purposes?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
163,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__no,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138,radio,does_the_app_contain_any_potentially_offensive_language_b4cfa138,Does the app contain any potentially offensive language?,radio,No,All Other App Types,false,298
164,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__yes,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138,radio,does_the_app_contain_any_potentially_offensive_language_b4cfa138,Does the app contain any potentially offensive language?,radio,Yes,All Other App Types,false,23
165,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__inactive,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138,radio,does_the_app_contain_any_potentially_offensive_language_b4cfa138,Does the app contain any potentially offensive language?,radio,__INACTIVE__,All Other App Types,true,73
166,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__not_applicable,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138,radio,does_the_app_contain_any_potentially_offensive_language_b4cfa138,Does the app contain any potentially offensive language?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
167,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__no,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,radio,does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,"Does the app contain any ratings-relevant content (e.g., sex, violence, language) downloaded as part of the app package (code, assets)?",radio,No,All Other App Types,false,73
168,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__yes,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,radio,does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,"Does the app contain any ratings-relevant content (e.g., sex, violence, language) downloaded as part of the app package (code, assets)?",radio,Yes,All Other App Types,false,321
169,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__inactive,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,radio,does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,"Does the app contain any ratings-relevant content (e.g., sex, violence, language) downloaded as part of the app package (code, assets)?",radio,__INACTIVE__,All Other App Types,true,0
170,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__not_applicable,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,radio,does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7,"Does the app contain any ratings-relevant content (e.g., sex, violence, language) downloaded as part of the app package (code, assets)?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
171,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__no,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,radio,does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,"Does the app contain any reference to or use of drugs, alcohol, or tobacco?",radio,No,All Other App Types,false,243
172,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__yes,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,radio,does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,"Does the app contain any reference to or use of drugs, alcohol, or tobacco?",radio,Yes,All Other App Types,false,78
173,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__inactive,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,radio,does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,"Does the app contain any reference to or use of drugs, alcohol, or tobacco?",radio,__INACTIVE__,All Other App Types,true,73
174,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__not_applicable,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,radio,does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8,"Does the app contain any reference to or use of drugs, alcohol, or tobacco?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
175,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__no,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,radio,does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,"Does the app contain gambling, simulations of casino gambling/bingo, or gambling themes?",radio,No,All Other App Types,false,289
176,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__yes,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,radio,does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,"Does the app contain gambling, simulations of casino gambling/bingo, or gambling themes?",radio,Yes,All Other App Types,false,32
177,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__inactive,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,radio,does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,"Does the app contain gambling, simulations of casino gambling/bingo, or gambling themes?",radio,__INACTIVE__,All Other App Types,true,73
178,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__not_applicable,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,radio,does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264,"Does the app contain gambling, simulations of casino gambling/bingo, or gambling themes?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
179,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__no,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58,radio,does_the_app_contain_inferences_of_references_to_or_depi_00223f58,"Does the app contain inferences of, references to, or depictions of sexuality, sexual violence, suggestiveness, revealing attire, or nudity?",radio,No,All Other App Types,false,197
180,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__yes,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58,radio,does_the_app_contain_inferences_of_references_to_or_depi_00223f58,"Does the app contain inferences of, references to, or depictions of sexuality, sexual violence, suggestiveness, revealing attire, or nudity?",radio,Yes,All Other App Types,false,124
181,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__inactive,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58,radio,does_the_app_contain_inferences_of_references_to_or_depi_00223f58,"Does the app contain inferences of, references to, or depictions of sexuality, sexual violence, suggestiveness, revealing attire, or nudity?",radio,__INACTIVE__,All Other App Types,true,73
182,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__not_applicable,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58,radio,does_the_app_contain_inferences_of_references_to_or_depi_00223f58,"Does the app contain inferences of, references to, or depictions of sexuality, sexual violence, suggestiveness, revealing attire, or nudity?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
183,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__no,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75,radio,does_the_app_contain_inferences_of_references_to_or_depi_23169d75,"Does the app contain inferences of, references to, or depictions of violence, blood, or gory images?",radio,No,All Other App Types,false,227
184,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__yes,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75,radio,does_the_app_contain_inferences_of_references_to_or_depi_23169d75,"Does the app contain inferences of, references to, or depictions of violence, blood, or gory images?",radio,Yes,All Other App Types,false,94
185,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__inactive,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75,radio,does_the_app_contain_inferences_of_references_to_or_depi_23169d75,"Does the app contain inferences of, references to, or depictions of violence, blood, or gory images?",radio,__INACTIVE__,All Other App Types,true,73
186,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__not_applicable,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75,radio,does_the_app_contain_inferences_of_references_to_or_depi_23169d75,"Does the app contain inferences of, references to, or depictions of violence, blood, or gory images?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
187,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__no,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,radio,does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,Does the app contain pictures or sounds likely to be scary or horrifying?,radio,No,All Other App Types,false,300
188,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__yes,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,radio,does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,Does the app contain pictures or sounds likely to be scary or horrifying?,radio,Yes,All Other App Types,false,21
189,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__inactive,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,radio,does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,Does the app contain pictures or sounds likely to be scary or horrifying?,radio,__INACTIVE__,All Other App Types,true,73
190,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__not_applicable,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,radio,does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa,Does the app contain pictures or sounds likely to be scary or horrifying?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
191,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__no,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,radio,does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,"Does the app feature or promote content that isn't part of the initial app download, but can be accessed from the app? Examples of this type of content are movies in the Netflix app, product listings in the Amazon Shopping app, songs in the Spotify app, generated AI content, or news articles in the New York Times app.",radio,No,All Other App Types,false,285
192,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__yes,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,radio,does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,"Does the app feature or promote content that isn't part of the initial app download, but can be accessed from the app? Examples of this type of content are movies in the Netflix app, product listings in the Amazon Shopping app, songs in the Spotify app, generated AI content, or news articles in the New York Times app.",radio,Yes,All Other App Types,false,109
193,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__inactive,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,radio,does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,"Does the app feature or promote content that isn't part of the initial app download, but can be accessed from the app? Examples of this type of content are movies in the Netflix app, product listings in the Amazon Shopping app, songs in the Spotify app, generated AI content, or news articles in the New York Times app.",radio,__INACTIVE__,All Other App Types,true,0
194,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__not_applicable,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,radio,does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720,"Does the app feature or promote content that isn't part of the initial app download, but can be accessed from the app? Examples of this type of content are movies in the Netflix app, product listings in the Amazon Shopping app, songs in the Spotify app, generated AI content, or news articles in the New York Times app.",radio,__NOT_APPLICABLE__,All Other App Types,true,416
195,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__no,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,radio,does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",radio,No,All Other App Types,false,362
196,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__yes,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,radio,does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",radio,Yes,All Other App Types,false,32
197,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__inactive,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,radio,does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",radio,__INACTIVE__,All Other App Types,true,0
198,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__not_applicable,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,radio,does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
199,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__no,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74,radio,does_the_app_have_a_pixelated_or_childlike_style_2122fb74,Does the app have a pixelated or childlike style?,radio,No,All Other App Types,false,37
200,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__yes_it_has_a_childlike_style_e_g_likely_to_appeal_to_younger_children,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74,radio,does_the_app_have_a_pixelated_or_childlike_style_2122fb74,Does the app have a pixelated or childlike style?,radio,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",All Other App Types,false,4
201,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__yes_it_has_a_pixelated_style,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74,radio,does_the_app_have_a_pixelated_or_childlike_style_2122fb74,Does the app have a pixelated or childlike style?,radio,"Yes, it has a pixelated style",All Other App Types,false,4
202,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__inactive,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74,radio,does_the_app_have_a_pixelated_or_childlike_style_2122fb74,Does the app have a pixelated or childlike style?,radio,__INACTIVE__,All Other App Types,true,349
203,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__not_applicable,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74,radio,does_the_app_have_a_pixelated_or_childlike_style_2122fb74,Does the app have a pixelated or childlike style?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
204,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__no,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522,radio,does_the_app_have_a_pixelated_or_childlike_style_88e77522,Does the app have a pixelated or childlike style?,radio,No,All Other App Types,false,25
205,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__yes,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522,radio,does_the_app_have_a_pixelated_or_childlike_style_88e77522,Does the app have a pixelated or childlike style?,radio,Yes,All Other App Types,false,5
206,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__inactive,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522,radio,does_the_app_have_a_pixelated_or_childlike_style_88e77522,Does the app have a pixelated or childlike style?,radio,__INACTIVE__,All Other App Types,true,364
207,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__not_applicable,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522,radio,does_the_app_have_a_pixelated_or_childlike_style_88e77522,Does the app have a pixelated or childlike style?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
208,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__no,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,radio,does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",radio,No,All Other App Types,false,372
209,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__yes,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,radio,does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",radio,Yes,All Other App Types,false,22
210,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__inactive,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,radio,does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",radio,__INACTIVE__,All Other App Types,true,0
211,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__not_applicable,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,radio,does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
212,answer__does_the_app_include_chat_moderation_cc9ff2ca__no,answer__does_the_app_include_chat_moderation_cc9ff2ca,radio,does_the_app_include_chat_moderation_cc9ff2ca,Does the app include chat moderation?,radio,No,All Other App Types || Social or Communication,false,100
213,answer__does_the_app_include_chat_moderation_cc9ff2ca__yes,answer__does_the_app_include_chat_moderation_cc9ff2ca,radio,does_the_app_include_chat_moderation_cc9ff2ca,Does the app include chat moderation?,radio,Yes,All Other App Types || Social or Communication,false,8
214,answer__does_the_app_include_chat_moderation_cc9ff2ca__inactive,answer__does_the_app_include_chat_moderation_cc9ff2ca,radio,does_the_app_include_chat_moderation_cc9ff2ca,Does the app include chat moderation?,radio,__INACTIVE__,All Other App Types || Social or Communication,true,296
215,answer__does_the_app_include_chat_moderation_cc9ff2ca__not_applicable,answer__does_the_app_include_chat_moderation_cc9ff2ca,radio,does_the_app_include_chat_moderation_cc9ff2ca,Does the app include chat moderation?,radio,__NOT_APPLICABLE__,All Other App Types || Social or Communication,true,406
216,answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0__no,answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0,radio,does_the_app_include_the_ability_or_requirement_to_make__638d2bc0,Does the app include the ability or requirement to make any purchases related to the issuance or earning of these digital assets?,radio,No,All Other App Types,false,9
